Time (s),Channel,Data
-4.9855,GPIO11,0
-4.9854,logic_clk,0
-4.9853,logic_clk,1
-4.9853,GPIO11,1
-4.9852,logic_clk,0
-4.9851,logic_clk,1
-4.9851,GPIO11,0
-4.985,logic_clk,0
-4.9849,logic_clk,1
-4.9849,GPIO11,1
-4.9848,logic_clk,0
-4.9847,logic_clk,1
-4.9847,GPIO11,0
-4.9846,logic_clk,0
-4.9845,logic_clk,1
-4.9845,GPIO11,1
-4.9844,logic_clk,0
-4.9843,logic_clk,1
-4.9843,GPIO11,0
-4.9842,logic_clk,0
-4.9841,logic_clk,1
-4.9841,GPIO11,1
-4.984,logic_clk,0
-4.9839,logic_clk,1
-4.9839,GPIO11,0
-4.9838,logic_clk,0
-4.9837,logic_clk,1
-4.9837,GPIO11,1
-4.9836,logic_clk,0
-4.9835,logic_clk,1
-4.9835,GPIO11,0
-4.9834,logic_clk,0
-4.9833,logic_clk,1
-4.9833,GPIO11,1
-4.9832,logic_clk,0
-4.9831,logic_clk,1
-4.9831,GPIO11,0
-4.983,logic_clk,0
-4.9829,logic_clk,1
-4.9829,GPIO11,1
-4.9828,logic_clk,0
-4.9827,logic_clk,1
-4.9827,GPIO11,0
-4.9826,logic_clk,0
-4.9825,logic_clk,1
-4.9825,GPIO11,1
-4.9824,logic_clk,0
-4.9823,logic_clk,1
-4.9823,GPIO11,0
-4.9822,logic_clk,0
-4.9821,logic_clk,1
-4.9821,GPIO11,1
-4.982,logic_clk,0
-4.9819,logic_clk,1
-4.9819,GPIO11,0
-4.9818,logic_clk,0
-4.9817,logic_clk,1
-4.9817,GPIO11,1
-4.9816,logic_clk,0
-4.9815,logic_clk,1
-4.9815,GPIO11,0
-4.9814,logic_clk,0
-4.9813,logic_clk,1
-4.9813,GPIO11,1
-4.9812,logic_clk,0
-4.9811,logic_clk,1
-4.9811,GPIO11,0
-4.981,logic_clk,0
-4.9809,logic_clk,1
-4.9809,GPIO11,1
-4.9808,logic_clk,0
-4.9807,logic_clk,1
-4.9807,GPIO11,0
-4.9806,logic_clk,0
-4.9805,logic_clk,1
-4.9805,GPIO11,1
-4.9804,logic_clk,0
-4.9803,logic_clk,1
-4.9803,GPIO11,0
-4.9802,logic_clk,0
-4.9801,logic_clk,1
-4.9801,GPIO11,1
-4.98,logic_clk,0
-4.9799,logic_clk,1
-4.9799,GPIO11,0
-4.9798,logic_clk,0
-4.9797,logic_clk,1
-4.9797,GPIO11,1
-4.9796,logic_clk,0
-4.9795,logic_clk,1
-4.9795,GPIO11,0
-4.9794,logic_clk,0
-4.9793,logic_clk,1
-4.9793,GPIO11,1
-4.9792,logic_clk,0
-4.9791,logic_clk,1
-4.9791,GPIO11,0
-4.979,logic_clk,0
-4.9789,logic_clk,1
-4.9789,GPIO11,1
-4.9788,logic_clk,0
-4.9787,logic_clk,1
-4.9787,GPIO11,0
-4.9786,logic_clk,0
-4.9785,logic_clk,1
-4.9785,GPIO11,1
-4.9784,logic_clk,0
-4.9783,logic_clk,1
-4.9783,GPIO11,0
-4.9782,logic_clk,0
-4.9781,logic_clk,1
-4.9781,GPIO11,1
-4.978,logic_clk,0
-4.9779,logic_clk,1
-4.9779,GPIO11,0
-4.9778,logic_clk,0
-4.9777,logic_clk,1
-4.9777,GPIO11,1
-4.9776,logic_clk,0
-4.9775,logic_clk,1
-4.9775,GPIO11,0
-4.9774,logic_clk,0
-4.9773,logic_clk,1
-4.9773,GPIO11,1
-4.9772,logic_clk,0
-4.9771,logic_clk,1
-4.9771,GPIO11,0
-4.977,logic_clk,0
-4.9769,logic_clk,1
-4.9769,GPIO11,1
-4.9768,logic_clk,0
-4.9767,logic_clk,1
-4.9767,GPIO11,0
-4.9766,logic_clk,0
-4.9765,logic_clk,1
-4.9765,GPIO11,1
-4.9764,logic_clk,0
-4.9763,logic_clk,1
-4.9763,GPIO11,0
-4.9762,logic_clk,0
-4.9761,logic_clk,1
-4.9761,GPIO11,1
-4.976,logic_clk,0
-4.9759,logic_clk,1
-4.9759,GPIO11,0
-4.9758,logic_clk,0
-4.9757,logic_clk,1
-4.9757,GPIO11,1
-4.9756,logic_clk,0
-4.9755,logic_clk,1
-4.9755,GPIO11,0
-4.9754,logic_clk,0
-4.9753,logic_clk,1
-4.9753,GPIO11,1
-4.9752,logic_clk,0
-4.9751,logic_clk,1
-4.9751,GPIO11,0
-4.975,logic_clk,0
-4.9749,logic_clk,1
-4.9749,GPIO11,1
-4.9748,logic_clk,0
-4.9747,logic_clk,1
-4.9747,GPIO11,0
-4.9746,logic_clk,0
-4.9745,logic_clk,1
-4.9745,GPIO11,1
-4.9744,logic_clk,0
-4.9743,logic_clk,1
-4.9743,GPIO11,0
-4.9742,logic_clk,0
-4.9741,logic_clk,1
-4.9741,GPIO11,1
-4.974,logic_clk,0
-4.9739,logic_clk,1
-4.9739,GPIO11,0
-4.9738,logic_clk,0
-4.9737,logic_clk,1
-4.9737,GPIO11,1
-4.9736,logic_clk,0
-4.9735,logic_clk,1
-4.9735,GPIO11,0
-4.9734,logic_clk,0
-4.9733,logic_clk,1
-4.9733,GPIO11,1
-4.9732,logic_clk,0
-4.9731,logic_clk,1
-4.9731,GPIO11,0
-4.973,logic_clk,0
-4.9729,logic_clk,1
-4.9729,GPIO11,1
-4.9728,logic_clk,0
-4.9727,logic_clk,1
-4.9727,GPIO11,0
-4.9726,logic_clk,0
-4.9725,logic_clk,1
-4.9725,GPIO11,1
-4.9724,logic_clk,0
-4.9723,logic_clk,1
-4.9723,GPIO11,0
-4.9722,logic_clk,0
-4.9721,logic_clk,1
-4.9721,GPIO11,1
-4.972,logic_clk,0
-4.9719,logic_clk,1
-4.9719,GPIO11,0
-4.9718,logic_clk,0
-4.9717,logic_clk,1
-4.9717,GPIO11,1
-4.9716,logic_clk,0
-4.9715,logic_clk,1
-4.9715,GPIO11,0
-4.9714,logic_clk,0
-4.9713,logic_clk,1
-4.9713,GPIO11,1
-4.9712,logic_clk,0
-4.9711,logic_clk,1
-4.9711,GPIO11,0
-4.971,logic_clk,0
-4.9709,logic_clk,1
-4.9709,GPIO11,1
-4.9708,logic_clk,0
-4.9707,logic_clk,1
-4.9707,GPIO11,0
-4.9706,logic_clk,0
-4.9705,logic_clk,1
-4.9705,GPIO11,1
-4.9704,logic_clk,0
-4.9703,logic_clk,1
-4.9703,GPIO11,0
-4.97025,logic_clk,0
-4.97015,logic_clk,1
-4.97015,GPIO11,1
-4.97005,logic_clk,0
-4.96995,logic_clk,1
-4.96995,GPIO11,0
-4.96985,logic_clk,0
-4.96975,logic_clk,1
-4.96975,GPIO11,1
-4.96965,logic_clk,0
-4.96955,logic_clk,1
-4.96955,GPIO11,0
-4.96945,logic_clk,0
-4.96935,logic_clk,1
-4.96935,GPIO11,1
-4.96925,logic_clk,0
-4.96915,logic_clk,1
-4.96915,GPIO11,0
-4.96905,logic_clk,0
-4.96895,logic_clk,1
-4.96895,GPIO11,1
-4.96885,logic_clk,0
-4.96875,logic_clk,1
-4.96875,GPIO11,0
-4.96865,logic_clk,0
-4.96855,logic_clk,1
-4.96855,GPIO11,1
-4.96845,logic_clk,0
-4.96835,logic_clk,1
-4.96835,GPIO11,0
-4.96825,logic_clk,0
-4.96815,logic_clk,1
-4.96815,GPIO11,1
-4.96805,logic_clk,0
-4.96795,logic_clk,1
-4.96795,GPIO11,0
-4.96785,logic_clk,0
-4.96775,logic_clk,1
-4.96775,GPIO11,1
-4.96765,logic_clk,0
-4.96755,logic_clk,1
-4.96755,GPIO11,0
-4.96745,logic_clk,0
-4.96735,logic_clk,1
-4.96735,GPIO11,1
-4.96725,logic_clk,0
-4.96715,logic_clk,1
-4.96715,GPIO11,0
-4.96705,logic_clk,0
-4.96695,logic_clk,1
-4.96695,GPIO11,1
-4.96685,logic_clk,0
-4.96675,logic_clk,1
-4.96675,GPIO11,0
-4.96665,logic_clk,0
-4.96655,logic_clk,1
-4.96655,GPIO11,1
-4.96645,logic_clk,0
-4.96635,logic_clk,1
-4.96635,GPIO11,0
-4.96625,logic_clk,0
-4.96615,logic_clk,1
-4.96615,GPIO11,1
-4.96605,logic_clk,0
-4.96595,logic_clk,1
-4.96595,GPIO11,0
-4.96585,logic_clk,0
-4.96575,logic_clk,1
-4.96575,GPIO11,1
-4.96565,logic_clk,0
-4.96555,logic_clk,1
-4.96555,GPIO11,0
-4.96545,logic_clk,0
-4.96535,logic_clk,1
-4.96535,GPIO11,1
-4.96525,logic_clk,0
-4.96515,logic_clk,1
-4.96515,GPIO11,0
-4.96505,logic_clk,0
-4.96495,logic_clk,1
-4.96495,GPIO11,1
-4.96485,logic_clk,0
-4.96475,logic_clk,1
-4.96475,GPIO11,0
-4.96465,logic_clk,0
-4.96455,logic_clk,1
-4.96455,GPIO11,1
-4.96445,logic_clk,0
-4.96435,logic_clk,1
-4.96435,GPIO11,0
-4.96425,logic_clk,0
-4.96415,logic_clk,1
-4.96415,GPIO11,1
-4.96405,logic_clk,0
-4.96395,logic_clk,1
-4.96395,GPIO11,0
-4.96385,logic_clk,0
-4.96375,logic_clk,1
-4.96375,GPIO11,1
-4.96365,logic_clk,0
-4.96355,logic_clk,1
-4.96355,GPIO11,0
-4.96345,logic_clk,0
-4.96335,logic_clk,1
-4.96335,GPIO11,1
-4.96325,logic_clk,0
-4.96315,logic_clk,1
-4.96315,GPIO11,0
-4.96305,logic_clk,0
-4.96295,logic_clk,1
-4.96295,GPIO11,1
-4.96285,logic_clk,0
-4.96275,logic_clk,1
-4.96275,GPIO11,0
-4.96265,logic_clk,0
-4.96255,logic_clk,1
-4.96255,GPIO11,1
-4.96245,logic_clk,0
-4.96235,logic_clk,1
-4.96235,GPIO11,0
-4.96225,logic_clk,0
-4.96215,logic_clk,1
-4.96215,GPIO11,1
-4.96205,logic_clk,0
-4.96195,logic_clk,1
-4.96195,GPIO11,0
-4.96185,logic_clk,0
-4.96175,logic_clk,1
-4.96175,GPIO11,1
-4.96165,logic_clk,0
-4.96155,logic_clk,1
-4.96155,GPIO11,0
-4.96145,logic_clk,0
-4.96135,logic_clk,1
-4.96135,GPIO11,1
-4.96125,logic_clk,0
-4.96115,logic_clk,1
-4.96115,GPIO11,0
-4.96105,logic_clk,0
-4.96095,logic_clk,1
-4.96095,GPIO11,1
-4.96085,logic_clk,0
-4.96075,logic_clk,1
-4.96075,GPIO11,0
-4.96065,logic_clk,0
-4.96055,logic_clk,1
-4.96055,GPIO11,1
-4.96045,logic_clk,0
-4.96035,logic_clk,1
-4.96035,GPIO11,0
-4.96025,logic_clk,0
-4.96015,logic_clk,1
-4.96015,GPIO11,1
-4.96005,logic_clk,0
-4.95995,logic_clk,1
-4.95995,GPIO11,0
-4.95985,logic_clk,0
-4.95975,logic_clk,1
-4.95975,GPIO11,1
-4.95965,logic_clk,0
-4.95955,logic_clk,1
-4.95955,GPIO11,0
-4.95945,logic_clk,0
-4.95935,logic_clk,1
-4.95935,GPIO11,1
-4.95925,logic_clk,0
-4.95915,logic_clk,1
-4.95915,GPIO11,0
-4.95905,logic_clk,0
-4.95895,logic_clk,1
-4.95895,GPIO11,1
-4.95885,logic_clk,0
-4.95875,logic_clk,1
-4.95875,GPIO11,0
-4.95865,logic_clk,0
-4.95855,logic_clk,1
-4.95855,GPIO11,1
-4.95845,logic_clk,0
-4.95835,logic_clk,1
-4.95835,GPIO11,0
-4.95825,logic_clk,0
-4.95815,logic_clk,1
-4.95815,GPIO11,1
-4.95805,logic_clk,0
-4.95795,logic_clk,1
-4.95795,GPIO11,0
-4.95785,logic_clk,0
-4.95775,logic_clk,1
-4.95775,GPIO11,1
-4.95765,logic_clk,0
-4.95755,logic_clk,1
-4.95755,GPIO11,0
-4.95745,logic_clk,0
-4.95735,logic_clk,1
-4.95735,GPIO11,1
-4.95725,logic_clk,0
-4.95715,logic_clk,1
-4.95715,GPIO11,0
-4.95705,logic_clk,0
-4.95695,logic_clk,1
-4.95695,GPIO11,1
-4.95685,logic_clk,0
-4.95675,logic_clk,1
-4.95675,GPIO11,0
-4.95665,logic_clk,0
-4.95655,logic_clk,1
-4.95655,GPIO11,1
-4.95645,logic_clk,0
-4.95635,logic_clk,1
-4.95635,GPIO11,0
-4.95625,logic_clk,0
-4.95615,logic_clk,1
-4.95615,GPIO11,1
-4.95605,logic_clk,0
-4.95595,logic_clk,1
-4.95595,GPIO11,0
-4.95585,logic_clk,0
-4.95575,logic_clk,1
-4.95575,GPIO11,1
-4.95565,logic_clk,0
-4.95555,logic_clk,1
-4.95555,GPIO11,0
-4.95545,logic_clk,0
-4.95535,logic_clk,1
-4.95535,GPIO11,1
-4.95525,logic_clk,0
-4.95515,logic_clk,1
-4.95515,GPIO11,0
-4.95505,logic_clk,0
-4.95495,logic_clk,1
-4.95495,GPIO11,1
-4.95485,logic_clk,0
-4.95475,logic_clk,1
-4.95475,GPIO11,0
-4.95465,logic_clk,0
-4.95455,logic_clk,1
-4.95455,GPIO11,1
-4.95445,logic_clk,0
-4.95435,logic_clk,1
-4.95435,GPIO11,0
-4.95425,logic_clk,0
-4.95415,logic_clk,1
-4.95415,GPIO11,1
-4.95405,logic_clk,0
-4.95395,logic_clk,1
-4.95395,GPIO11,0
-4.95385,logic_clk,0
-4.95375,logic_clk,1
-4.95375,GPIO11,1
-4.95365,logic_clk,0
-4.95355,logic_clk,1
-4.95355,GPIO11,0
-4.95345,logic_clk,0
-4.95335,logic_clk,1
-4.95335,GPIO11,1
-4.95325,logic_clk,0
-4.95315,logic_clk,1
-4.95315,GPIO11,0
-4.95305,logic_clk,0
-4.95295,logic_clk,1
-4.95295,GPIO11,1
-4.95285,logic_clk,0
-4.95275,logic_clk,1
-4.95275,GPIO11,0
-4.95265,logic_clk,0
-4.95255,logic_clk,1
-4.95255,GPIO11,1
-4.95245,logic_clk,0
-4.95235,logic_clk,1
-4.95235,GPIO11,0
-4.95225,logic_clk,0
-4.9522,logic_clk,1
-4.9522,GPIO11,1
-4.9521,logic_clk,0
-4.952,logic_clk,1
-4.952,GPIO11,0
-4.9519,logic_clk,0
-4.9518,logic_clk,1
-4.9518,GPIO11,1
-4.9517,logic_clk,0
-4.9516,logic_clk,1
-4.9516,GPIO11,0
-4.9515,logic_clk,0
-4.9514,logic_clk,1
-4.9514,GPIO11,1
-4.9513,logic_clk,0
-4.9512,logic_clk,1
-4.9512,GPIO11,0
-4.9511,logic_clk,0
-4.951,logic_clk,1
-4.951,GPIO11,1
-4.9509,logic_clk,0
-4.9508,logic_clk,1
-4.9508,GPIO11,0
-4.9507,logic_clk,0
-4.9506,logic_clk,1
-4.9506,GPIO11,1
-4.9505,logic_clk,0
-4.9504,logic_clk,1
-4.9504,GPIO11,0
-4.9503,logic_clk,0
-4.9502,logic_clk,1
-4.9502,GPIO11,1
-4.9501,logic_clk,0
-4.95,logic_clk,1
-4.95,GPIO11,0
-4.9499,logic_clk,0
-4.9498,logic_clk,1
-4.9498,GPIO11,1
-4.9497,logic_clk,0
-4.9496,logic_clk,1
-4.9496,GPIO11,0
-4.9495,logic_clk,0
-4.9494,logic_clk,1
-4.9494,GPIO11,1
-4.9493,logic_clk,0
-4.9492,logic_clk,1
-4.9492,GPIO11,0
-4.9491,logic_clk,0
-4.949,logic_clk,1
-4.949,GPIO11,1
-4.9489,logic_clk,0
-4.9488,logic_clk,1
-4.9488,GPIO11,0
-4.9487,logic_clk,0
-4.9486,logic_clk,1
-4.9486,GPIO11,1
-4.9485,logic_clk,0
-4.9484,logic_clk,1
-4.9484,GPIO11,0
-4.9483,logic_clk,0
-4.9482,logic_clk,1
-4.9482,GPIO11,1
-4.9481,logic_clk,0
-4.948,logic_clk,1
-4.948,GPIO11,0
-4.9479,logic_clk,0
-4.9478,logic_clk,1
-4.9478,GPIO11,1
-4.9477,logic_clk,0
-4.9476,logic_clk,1
-4.9476,GPIO11,0
-4.9475,logic_clk,0
-4.9474,logic_clk,1
-4.9474,GPIO11,1
-4.9473,logic_clk,0
-4.9472,logic_clk,1
-4.9472,GPIO11,0
-4.9471,logic_clk,0
-4.947,logic_clk,1
-4.947,GPIO11,1
-4.9469,logic_clk,0
-4.9468,logic_clk,1
-4.9468,GPIO11,0
-4.9467,logic_clk,0
-4.9466,logic_clk,1
-4.9466,GPIO11,1
-4.9465,logic_clk,0
-4.9464,logic_clk,1
-4.9464,GPIO11,0
-4.9463,logic_clk,0
-4.9462,logic_clk,1
-4.9462,GPIO11,1
-4.9461,logic_clk,0
-4.946,logic_clk,1
-4.946,GPIO11,0
-4.9459,logic_clk,0
-4.9458,logic_clk,1
-4.9458,GPIO11,1
-4.9457,logic_clk,0
-4.9456,logic_clk,1
-4.9456,GPIO11,0
-4.9455,logic_clk,0
-4.9454,logic_clk,1
-4.9454,GPIO11,1
-4.9453,logic_clk,0
-4.9452,logic_clk,1
-4.9452,GPIO11,0
-4.9451,logic_clk,0
-4.945,logic_clk,1
-4.945,GPIO11,1
-4.9449,logic_clk,0
-4.9448,logic_clk,1
-4.9448,GPIO11,0
-4.9447,logic_clk,0
-4.9446,logic_clk,1
-4.9446,GPIO11,1
-4.9445,logic_clk,0
-4.9444,logic_clk,1
-4.9444,GPIO11,0
-4.9443,logic_clk,0
-4.9442,logic_clk,1
-4.9442,GPIO11,1
-4.9441,logic_clk,0
-4.944,logic_clk,1
-4.944,GPIO11,0
-4.9439,logic_clk,0
-4.9438,logic_clk,1
-4.9438,GPIO11,1
-4.9437,logic_clk,0
-4.9436,logic_clk,1
-4.9436,GPIO11,0
-4.9435,logic_clk,0
-4.9434,logic_clk,1
-4.9434,GPIO11,1
-4.9433,logic_clk,0
-4.9432,logic_clk,1
-4.9432,GPIO11,0
-4.9431,logic_clk,0
-4.943,logic_clk,1
-4.943,GPIO11,1
-4.9429,logic_clk,0
-4.9428,logic_clk,1
-4.9428,GPIO11,0
-4.9427,logic_clk,0
-4.9426,logic_clk,1
-4.9426,GPIO11,1
-4.9425,logic_clk,0
-4.9424,logic_clk,1
-4.9424,GPIO11,0
-4.9423,logic_clk,0
-4.9422,logic_clk,1
-4.9422,GPIO11,1
-4.9421,logic_clk,0
-4.942,logic_clk,1
-4.942,GPIO11,0
-4.9419,logic_clk,0
-4.9418,logic_clk,1
-4.9418,GPIO11,1
-4.9417,logic_clk,0
-4.9416,logic_clk,1
-4.9416,GPIO11,0
-4.9415,logic_clk,0
-4.9414,logic_clk,1
-4.9414,GPIO11,1
-4.9413,logic_clk,0
-4.9412,logic_clk,1
-4.9412,GPIO11,0
-4.9411,logic_clk,0
-4.941,logic_clk,1
-4.941,GPIO11,1
-4.9409,logic_clk,0
-4.9408,logic_clk,1
-4.9408,GPIO11,0
-4.9407,logic_clk,0
-4.9406,logic_clk,1
-4.9406,GPIO11,1
-4.9405,logic_clk,0
-4.9404,logic_clk,1
-4.9404,GPIO11,0
-4.9403,logic_clk,0
-4.9402,logic_clk,1
-4.9402,GPIO11,1
-4.9401,logic_clk,0
-4.94,logic_clk,1
-4.94,GPIO11,0
-4.9399,logic_clk,0
-4.9398,logic_clk,1
-4.9398,GPIO11,1
-4.9397,logic_clk,0
-4.9396,logic_clk,1
-4.9396,GPIO11,0
-4.9395,logic_clk,0
-4.9394,logic_clk,1
-4.9394,GPIO11,1
-4.9393,logic_clk,0
-4.9392,logic_clk,1
-4.9392,GPIO11,0
-4.9391,logic_clk,0
-4.939,logic_clk,1
-4.939,GPIO11,1
-4.9389,logic_clk,0
-4.9388,logic_clk,1
-4.9388,GPIO11,0
-4.9387,logic_clk,0
-4.9386,logic_clk,1
-4.9386,GPIO11,1
-4.9385,logic_clk,0
-4.9384,logic_clk,1
-4.9384,GPIO11,0
-4.9383,logic_clk,0
-4.9382,logic_clk,1
-4.9382,GPIO11,1
-4.9381,logic_clk,0
-4.938,logic_clk,1
-4.938,GPIO11,0
-4.9379,logic_clk,0
-4.9378,logic_clk,1
-4.9378,GPIO11,1
-4.9377,logic_clk,0
-4.9376,logic_clk,1
-4.9376,GPIO11,0
-4.9375,logic_clk,0
-4.9374,logic_clk,1
-4.9374,GPIO11,1
-4.9373,logic_clk,0
-4.9372,logic_clk,1
-4.9372,GPIO11,0
-4.9371,logic_clk,0
-4.937,logic_clk,1
-4.937,GPIO11,1
-4.9369,logic_clk,0
-4.9368,logic_clk,1
-4.9368,GPIO11,0
-4.9367,logic_clk,0
-4.9366,logic_clk,1
-4.9366,GPIO11,1
-4.9365,logic_clk,0
-4.9364,logic_clk,1
-4.9364,GPIO11,0
-4.9363,logic_clk,0
-4.9362,logic_clk,1
-4.9362,GPIO11,1
-4.9361,logic_clk,0
-4.936,logic_clk,1
-4.936,GPIO11,0
-4.9359,logic_clk,0
-4.9358,logic_clk,1
-4.9358,GPIO11,1
-4.9357,logic_clk,0
-4.9356,logic_clk,1
-4.9356,GPIO11,0
-4.9355,logic_clk,0
-4.9354,logic_clk,1
-4.9354,GPIO11,1
-4.9353,logic_clk,0
-4.9352,logic_clk,1
-4.9352,GPIO11,0
-4.9351,logic_clk,0
-4.935,logic_clk,1
-4.935,GPIO11,1
-4.9349,logic_clk,0
-4.9348,logic_clk,1
-4.9348,GPIO11,0
-4.9347,logic_clk,0
-4.9346,logic_clk,1
-4.9346,GPIO11,1
-4.9345,logic_clk,0
-4.9344,logic_clk,1
-4.9344,GPIO11,0
-4.9343,logic_clk,0
-4.9342,logic_clk,1
-4.9342,GPIO11,1
-4.9341,logic_clk,0
-4.93405,logic_clk,1
-4.93405,GPIO11,0
-4.93395,logic_clk,0
-4.93385,logic_clk,1
-4.93385,GPIO11,1
-4.93375,logic_clk,0
-4.93365,logic_clk,1
-4.93365,GPIO11,0
-4.93355,logic_clk,0
-4.93345,logic_clk,1
-4.93345,GPIO11,1
-4.93335,logic_clk,0
